GeneA	Locus_or_GeneA_Total	GeneB	Locus_or_GeneB_Total	nBoth	Expected	OddsRatio	p_cooccur	FDR_cooccur
KRAS	245	TTN	250	108	104.522	1.105	0.3068878982517972	1.0
TP53	246	TTN	250	106	104.949	1.031	0.46258328139686994	1.0
KRAS	245	TP53	246	105	102.85	1.064	0.3894801807026066	1.0
MUC16	139	TTN	250	88	59.3	3.019	1.6751934405906558e-08	2.2866216080644626e-05
SYNE1	143	TTN	250	85	61.007	2.459	2.657887854759008e-06	0.00048500687992041974
KRAS	245	PIK3CA	145	84	60.623	2.386	4.965850997925282e-06	0.000713190031786534
FAT4	117	TTN	250	76	49.915	3.122	4.905427591516105e-08	4.2758199578197345e-05
PIK3CA	145	TTN	250	76	61.86	1.687	0.004253059914574628	0.04744198018782821
OBSCN	94	TTN	250	68	40.102	4.398	2.1360612196336378e-10	1.7916275187082303e-06
RYR2	101	TTN	250	68	43.089	3.4	3.5987034300053296e-08	3.615900831781816e-05
MUC16	139	SYNE1	143	65	33.92	4.138	1.690664829692489e-11	4.120050691736427e-07
KRAS	245	MUC16	139	65	58.114	1.303	0.10457032808082914	0.6265139633736962
KRAS	245	SYNE1	143	59	59.787	0.972	0.5980260056053834	1.0
RYR1	70	TTN	250	55	29.863	5.888	7.929983287601522e-11	1.014508451585321e-06
SYNE1	143	TP53	246	55	60.031	0.827	0.859556475528757	1.0
FAT4	117	MUC16	139	54	27.753	3.86	1.3448159531659373e-09	5.1616988260527564e-06
DNAH5	77	TTN	250	54	32.85	3.7	1.6999668267753156e-07	9.131560548553652e-05
CSMD3	78	TTN	250	54	33.276	3.538	3.451844130487392e-07	0.00014058226368102113
TTN	250	ZFHX4	83	54	35.41	2.891	7.9267077503686e-06	0.0009625747278520159
TTN	250	USH2A	74	53	31.57	3.975	7.076298575579274e-08	5.44933957418365e-05
FAT3	77	TTN	250	53	32.85	3.455	6.226390926214126e-07	0.00020024704446253166
CSMD1	85	TTN	250	53	36.263	2.538	6.332825490350806e-05	0.0034672784255253995
FAT4	117	SYNE1	143	52	28.551	3.316	6.388366697528264e-08	5.073341419761948e-05
MUC16	139	PIK3CA	145	52	34.394	2.275	8.948950461196388e-05	0.004320273098260588
DST	64	TTN	250	51	27.304	6.186	1.7753930548630418e-10	1.5736327590379399e-06
NEB	71	TTN	250	51	30.29	3.986	1.1467007121632895e-07	7.178736654457674e-05
PCLO	71	TTN	250	51	30.29	3.986	1.1467007121632895e-07	7.178736654457674e-05
LRP1B	80	TTN	250	51	34.13	2.691	3.6757618807740584e-05	0.002451291790014598
LRP2	65	TTN	250	50	27.73	5.224	2.888190227842477e-09	8.056423894506453e-06
RYR2	101	SYNE1	143	50	24.647	4.116	1.057347545240039e-09	4.489184958894444e-06
ABCA13	69	TTN	250	50	29.437	4.101	9.81293925859493e-08	6.589296499480498e-05
ADGRV1	65	TTN	250	49	27.73	4.772	1.4720216331508241e-08	2.0926732176636166e-05
MUC5B	57	TTN	250	48	24.317	8.257	1.4196451164004197e-11	3.6969772721491036e-07
BRAF	61	TTN	250	48	26.024	5.739	1.5936267932179224e-09	5.679183423648197e-06
MUC16	139	OBSCN	94	47	22.297	4.33	8.475869821683643e-10	3.899014706667478e-06
RYR3	74	TTN	250	47	31.57	2.627	9.322167806987727e-05	0.004392823787635968
MACF1	54	TTN	250	46	23.038	8.788	1.794631255079812e-11	4.321182506402836e-07
FAT4	117	ZFHX4	83	46	16.572	7.501	3.625492773791357e-15	3.3294482299521642e-09
SACS	61	TTN	250	46	26.024	4.716	4.489915531933952e-08	4.083447398593403e-05
DNAH2	50	TTN	250	45	21.331	13.345	3.885450986469042e-13	4.87596724033551e-08
OBSCN	94	RYR2	101	45	16.201	7.101	1.305856721776917e-14	6.597876080324012e-09
SDK1	63	TTN	250	45	26.877	3.812	1.0173534302908894e-06	0.0002671089106617191
FLG	64	TTN	250	45	27.304	3.605	2.1234756853791805e-06	0.0004303786499730454
CACNA1E	67	TTN	250	45	28.584	3.095	1.5641926970969803e-05	0.0014654005617252088
DNAH11	71	TTN	250	45	30.29	2.594	0.00014735623169899936	0.005856435392135855
FAT4	117	KRAS	245	45	48.916	0.844	0.8224425433740259	1.0
FAT4	117	OBSCN	94	44	18.768	5.029	6.247386618749351e-11	8.677157181489071e-07
TTN	250	ZFHX3	48	43	20.478	12.635	2.1357080262021516e-12	1.2491101175399026e-07
SYNE2	49	TTN	250	43	20.904	10.659	1.0896304016094078e-11	3.27664474682466e-07
DNAH17	50	TTN	250	43	21.331	9.21	4.85815493357409e-11	7.546531843913073e-07
