# TotalSamples=586  Hypermutators=91  NonHyper=495  Cutoff=200
GeneA	GeneB	nBoth_all	OR_all	rel_all	nBoth_nonhyper	OR_nonhyper	rel_nonhyper	Verdict
TP53	KRAS	105	1.06	n.s.	97	0.93	n.s.	n.s.
KRAS	PIK3CA	84	2.39	Co-occurring	69	2.92	Co-occurring	Robust co-occurrence
TP53	PIK3CA	43	0.5	Mutually exclusive	35	0.5	n.s.	n.s.
KRAS	SMAD4	31	1.9	n.s.	27	2.3	n.s.	n.s.
PIK3CA	SMAD4	24	2.63	Co-occurring	16	2.37	n.s.	TMB-artefact (lost)
KRAS	FBXW7	23	1.16	n.s.	18	1.82	n.s.	n.s.
PIK3CA	KMT2D	22	3.24	Co-occurring	6	7.05	n.s.	TMB-artefact (lost)
PIK3CA	FBXW7	21	2.33	Co-occurring	12	2.48	n.s.	TMB-artefact (lost)
PIK3CA	BRAF	21	1.71	n.s.	3	0.93	n.s.	n.s.
TP53	SMAD4	20	0.78	n.s.	19	0.94	n.s.	n.s.
KRAS	PCBP1	19	4.44	Co-occurring	17	5.32	n.s.	TMB-artefact (lost)
KRAS	KMT2D	18	0.93	n.s.	6	2.42	n.s.	n.s.
APC	KRAS	17	0.99	n.s.	9	1.45	n.s.	n.s.
APC	PIK3CA	17	2.32	Co-occurring	4	1.21	n.s.	TMB-artefact (lost)
APC	POLE	17	28.17	Co-occurring	0	3.01	n.s.	TMB-artefact (lost)
TP53	FBXW7	17	0.68	n.s.	13	0.86	n.s.	n.s.
PIK3CA	CTNNB1	16	3.51	Co-occurring	5	2.73	n.s.	TMB-artefact (lost)
PIK3CA	POLE	16	3.76	Co-occurring	1	1.55	n.s.	TMB-artefact (lost)
BRAF	KMT2D	16	6.1	Co-occurring	0	1.5	n.s.	TMB-artefact (lost)
APC	TP53	15	0.79	n.s.	9	1.34	n.s.	n.s.
TP53	NRAS	15	0.99	n.s.	14	0.98	n.s.	n.s.
KRAS	CTNNB1	15	1.33	n.s.	7	1.77	n.s.	n.s.
PIK3CA	ATM	15	2.02	n.s.	3	0.93	n.s.	n.s.
KRAS	TCF7L2	14	1.52	n.s.	7	1.29	n.s.	n.s.
PIK3CA	KMT2C	14	1.8	n.s.	3	1.01	n.s.	n.s.
KMT2D	POLE	14	14.66	Co-occurring	0	5.64	n.s.	TMB-artefact (lost)
TP53	TCF7L2	13	1.3	n.s.	9	2.1	n.s.	n.s.
TP53	ATM	13	0.69	n.s.	8	1.2	n.s.	n.s.
KRAS	SOX9	13	2.59	n.s.	8	2.47	n.s.	n.s.
KRAS	ATM	13	0.69	n.s.	7	1.01	n.s.	n.s.
KRAS	ERBB3	13	1.41	n.s.	3	1.0	n.s.	n.s.
KMT2C	KMT2D	13	8.08	Co-occurring	1	5.75	n.s.	TMB-artefact (lost)
APC	KMT2C	12	7.99	Co-occurring	1	2.91	n.s.	TMB-artefact (lost)
TP53	CTNNB1	12	0.88	n.s.	9	3.33	n.s.	n.s.
TP53	BRAF	12	0.31	Mutually exclusive	5	0.56	n.s.	n.s.
TP53	ERBB3	12	1.2	n.s.	2	0.54	n.s.	n.s.
PIK3CA	PCBP1	12	2.97	Co-occurring	9	2.9	n.s.	TMB-artefact (lost)
FBXW7	BRAF	12	3.11	Co-occurring	0	0.43	n.s.	TMB-artefact (lost)
BRAF	KMT2C	12	4.58	Co-occurring	2	5.96	n.s.	TMB-artefact (lost)
ATM	KMT2D	12	6.98	Co-occurring	0	1.5	n.s.	TMB-artefact (lost)
KMT2C	POLE	12	13.01	Co-occurring	0	3.42	n.s.	TMB-artefact (lost)
APC	ATM	11	6.85	Co-occurring	1	2.72	n.s.	TMB-artefact (lost)
KRAS	KMT2C	11	0.54	n.s.	2	0.23	n.s.	n.s.
CTNNB1	KMT2D	11	8.48	Co-occurring	1	7.3	n.s.	TMB-artefact (lost)
BRAF	MSH6	11	13.86	Co-occurring	0	4.13	n.s.	TMB-artefact (lost)
ATM	POLE	11	10.94	Co-occurring	0	3.2	n.s.	TMB-artefact (lost)
APC	BRAF	10	3.2	Co-occurring	0	0.8	n.s.	TMB-artefact (lost)
APC	AMER1	10	18.82	Co-occurring	1	12.35	n.s.	TMB-artefact (lost)
APC	KMT2D	10	4.79	Co-occurring	0	1.41	n.s.	TMB-artefact (lost)
APC	ERBB3	10	10.7	Co-occurring	1	6.61	n.s.	TMB-artefact (lost)
KRAS	POLE	10	0.7	n.s.	2	1.28	n.s.	n.s.
PIK3CA	TCF7L2	10	1.88	n.s.	2	0.71	n.s.	n.s.
PIK3CA	ERBB3	10	2.0	n.s.	0	0.24	n.s.	n.s.
BRAF	ATM	10	3.43	Co-occurring	0	0.85	n.s.	TMB-artefact (lost)
BRAF	POLE	10	5.03	Co-occurring	0	3.2	n.s.	TMB-artefact (lost)
ATM	KMT2C	10	6.26	Co-occurring	0	0.91	n.s.	TMB-artefact (lost)
POLE	MSH6	10	29.52	Co-occurring	0	15.51	n.s.	TMB-artefact (lost)
APC	TCF7L2	9	8.33	Co-occurring	2	6.02	n.s.	TMB-artefact (lost)
APC	MSH6	9	14.91	Co-occurring	0	3.88	n.s.	TMB-artefact (lost)
TP53	KMT2D	9	0.33	n.s.	1	0.2	n.s.	n.s.
TP53	ERBB2	9	1.26	n.s.	7	1.64	n.s.	n.s.
KRAS	SMAD2	9	2.07	n.s.	5	1.58	n.s.	n.s.
KRAS	GNAS	9	2.46	n.s.	3	1.8	n.s.	n.s.
PIK3CA	SOX9	9	2.61	n.s.	6	3.77	n.s.	n.s.
PIK3CA	AMER1	9	2.86	n.s.	0	0.4	n.s.	n.s.
PIK3CA	RNF43	9	2.86	n.s.	2	6.12	n.s.	n.s.
PIK3CA	MSH6	9	2.86	n.s.	1	2.18	n.s.	n.s.
FBXW7	ATM	9	3.7	Co-occurring	1	1.43	n.s.	TMB-artefact (lost)
TCF7L2	POLE	9	12.86	Co-occurring	0	3.66	n.s.	TMB-artefact (lost)
BRAF	AMER1	9	8.88	Co-occurring	1	13.18	n.s.	TMB-artefact (lost)
APC	FBXW7	8	2.93	n.s.	2	2.46	n.s.	n.s.
APC	ARID1A	8	14.33	Co-occurring	1	9.59	n.s.	TMB-artefact (lost)
TP53	ARID1A	8	1.24	n.s.	5	13.38	n.s.	n.s.
TP53	KMT2C	8	0.35	n.s.	6	0.81	n.s.	n.s.
TP53	PCBP1	8	0.66	n.s.	7	0.6	n.s.	n.s.
TP53	MAP2K4	8	1.02	n.s.	5	1.89	n.s.	n.s.
KRAS	ERBB2	8	1.03	n.s.	5	0.94	n.s.	n.s.
KRAS	PTEN	8	1.25	n.s.	5	1.58	n.s.	n.s.
KRAS	RNF43	8	1.03	n.s.	2	2.15	n.s.	n.s.
KRAS	MAP2K4	8	1.03	n.s.	5	2.04	n.s.	n.s.
PIK3CA	SMAD2	8	3.58	n.s.	4	3.03	n.s.	n.s.
PIK3CA	MAP2K4	8	2.31	n.s.	2	1.39	n.s.	n.s.
FBXW7	CTNNB1	8	4.26	Co-occurring	2	3.67	n.s.	TMB-artefact (lost)
SMAD4	KMT2D	8	2.36	n.s.	2	3.58	n.s.	n.s.
CTNNB1	ATM	8	6.02	Co-occurring	0	1.13	n.s.	TMB-artefact (lost)
CTNNB1	POLE	8	8.58	Co-occurring	0	4.26	n.s.	TMB-artefact (lost)
BRAF	RNF43	8	7.11	Co-occurring	0	4.13	n.s.	TMB-artefact (lost)
AMER1	ATM	8	12.59	Co-occurring	0	3.2	n.s.	TMB-artefact (lost)
AMER1	POLE	8	17.92	Co-occurring	0	12.04	n.s.	TMB-artefact (lost)
KMT2C	MSH6	8	12.59	Co-occurring	0	4.4	n.s.	TMB-artefact (lost)
APC	CDC27	7	47.26	Co-occurring	0	9.1	n.s.	TMB-artefact (lost)
TP53	POLE	7	0.42	n.s.	1	0.51	n.s.	n.s.
KRAS	TGFBR2	7	2.36	n.s.	4	11.74	n.s.	n.s.
PIK3CA	NRAS	7	0.76	n.s.	5	0.73	n.s.	n.s.
PIK3CA	ARID1A	7	2.23	n.s.	1	1.2	n.s.	n.s.
PIK3CA	PTEN	7	2.23	n.s.	3	1.97	n.s.	n.s.
FBXW7	KMT2C	7	2.61	n.s.	1	1.53	n.s.	n.s.
FBXW7	POLE	7	3.68	Co-occurring	0	1.62	n.s.	TMB-artefact (lost)
SMAD4	CTNNB1	7	3.2	n.s.	3	4.03	n.s.	n.s.
SMAD4	ATM	7	2.38	n.s.	3	2.81	n.s.	n.s.
SMAD4	POLE	7	3.35	n.s.	0	1.15	n.s.	n.s.
TCF7L2	ATM	7	5.94	Co-occurring	0	0.97	n.s.	TMB-artefact (lost)
TCF7L2	KMT2D	7	4.96	Co-occurring	0	1.72	n.s.	TMB-artefact (lost)
CTNNB1	KMT2C	7	4.93	Co-occurring	0	1.21	n.s.	TMB-artefact (lost)
ATM	MSH6	7	9.89	Co-occurring	0	4.13	n.s.	TMB-artefact (lost)
ATM	MAP2K4	7	9.89	Co-occurring	1	6.1	n.s.	TMB-artefact (lost)
KMT2C	RNF43	7	9.89	Co-occurring	0	4.4	n.s.	TMB-artefact (lost)
KMT2D	ERBB3	7	5.22	Co-occurring	0	3.36	n.s.	TMB-artefact (lost)
POLE	CDC27	7	70.79	Co-occurring	0	36.33	n.s.	TMB-artefact (lost)
APC	SMAD4	6	1.84	n.s.	1	0.93	n.s.	n.s.
APC	CTNNB1	6	3.74	n.s.	0	1.07	n.s.	n.s.
