Sample	MissenseSNV_burden	Class
TCGA-AG-A002-01	8822	Hypermutated
TCGA-F5-6814-01	6848	Hypermutated
TCGA-CA-6717-01	6305	Hypermutated
TCGA-AA-A010-01	6042	Hypermutated
TCGA-AZ-4315-01	4923	Hypermutated
TCGA-AA-A00N-01	4289	Hypermutated
TCGA-AA-3984-01	4119	Hypermutated
TCGA-EI-6917-01	3978	Hypermutated
TCGA-AA-3977-01	3402	Hypermutated
TCGA-CK-4951-01	3039	Hypermutated
TCGA-CA-6718-01	2462	Hypermutated
TCGA-AA-3510-01	2274	Hypermutated
TCGA-AG-3892-01	2249	Hypermutated
TCGA-AA-3864-01	1879	Hypermutated
TCGA-WS-AB45-01	1638	Hypermutated
TCGA-A6-6781-01	1502	Hypermutated
TCGA-AZ-6601-01	1497	Hypermutated
TCGA-NH-A5IV-01	1481	Hypermutated
TCGA-AA-3947-01	1472	Hypermutated
TCGA-AZ-6598-01	1436	Hypermutated
TCGA-AA-3715-01	1417	Hypermutated
TCGA-AA-3811-01	1395	Hypermutated
TCGA-AA-A01R-01	1358	Hypermutated
TCGA-AA-3492-01	1336	Hypermutated
TCGA-G4-6588-01	1298	Hypermutated
TCGA-A6-2686-01	1276	Hypermutated
TCGA-AA-3663-01	1249	Hypermutated
TCGA-5M-AAT6-01	1248	Hypermutated
TCGA-A6-5665-01	1229	Hypermutated
TCGA-G4-6628-01	1225	Hypermutated
TCGA-AD-6895-01	1107	Hypermutated
TCGA-AA-3672-01	1073	Hypermutated
TCGA-F4-6570-01	1070	Hypermutated
TCGA-D5-6928-01	1062	Hypermutated
TCGA-AD-6889-01	1031	Hypermutated
TCGA-AD-6964-01	1022	Hypermutated
TCGA-AA-A022-01	954	Hypermutated
TCGA-CM-5861-01	946	Hypermutated
TCGA-AD-5900-01	930	Hypermutated
TCGA-CK-5916-01	895	Hypermutated
TCGA-AD-A5EJ-01	876	Hypermutated
TCGA-A6-3809-01	850	Hypermutated
TCGA-AA-3966-01	842	Hypermutated
TCGA-AM-5821-01	836	Hypermutated
TCGA-A6-6780-01	819	Hypermutated
TCGA-EI-6882-01	816	Hypermutated
TCGA-AA-3949-01	792	Hypermutated
TCGA-A6-5661-01	773	Hypermutated
TCGA-D5-6540-01	771	Hypermutated
TCGA-D5-6930-01	765	Hypermutated
TCGA-AZ-4313-01	760	Hypermutated
TCGA-CM-6171-01	755	Hypermutated
TCGA-A6-2672-01	746	Hypermutated
TCGA-CK-6746-01	742	Hypermutated
TCGA-CM-4743-01	740	Hypermutated
TCGA-AG-A02N-01	733	Hypermutated
TCGA-DM-A1HB-01	729	Hypermutated
TCGA-G4-6586-01	721	Hypermutated
TCGA-AY-6197-01	710	Hypermutated
TCGA-AA-3877-01	705	Hypermutated
TCGA-G4-6320-01	704	Hypermutated
TCGA-A6-6653-01	702	Hypermutated
TCGA-AA-3950-01	682	Hypermutated
TCGA-AA-A02R-01	681	Hypermutated
TCGA-CM-6162-01	678	Hypermutated
TCGA-AA-3845-01	675	Hypermutated
TCGA-QG-A5Z2-01	652	Hypermutated
TCGA-AA-3713-01	619	Hypermutated
TCGA-D5-6530-01	616	Hypermutated
TCGA-AZ-4615-01	612	Hypermutated
TCGA-F4-6856-01	607	Hypermutated
TCGA-EI-6507-01	604	Hypermutated
TCGA-G4-6302-01	599	Hypermutated
TCGA-G4-6304-01	595	Hypermutated
TCGA-AU-6004-01	583	Hypermutated
TCGA-AA-A01P-01	569	Hypermutated
TCGA-AA-3815-01	564	Hypermutated
